,Date (America/Chicago),"Masc_CON2_RM2_W Temp shock - color
153,2021-05-11,green,20.0,green,94.0,green,19.0,green,95.0,green,18.0,green,98.0,green,17.5,green,94.0,green,18.0,green,90.0,green,,green,
154,2021-05-12,green,19.5,green,93.0,green,19.5,green,98.0,green,18.0,green,98.0,green,18.0,green,87.0,green,18.0,green,86.0,green,,green,
155,2021-05-13,green,19.5,green,89.0,green,20.0,green,97.0,green,18.5,green,97.0,yellow,18.0,green,97.0,green,19.0,green,92.0,green,,green,
156,2021-05-14,green,18.0,green,91.0,green,18.5,green,98.0,green,17.0,green,93.0,green,17.5,green,94.0,green,18.0,green,95.0,green,,green,
157,2021-05-15,yellow,20.0,green,90.0,yellow,20.5,green,99.0,yellow,19.5,green,97.0,yellow,20.0,green,97.0,yellow,20.0,green,97.0,green,,green,
158,2021-05-16,green,18.5,green,97.0,green,19.0,green,98.0,green,17.5,green,98.0,green,18.0,green,96.0,green,18.5,green,95.0,green,,green,
159,2021-05-17,green,18.0,green,98.0,green,18.5,green,99.0,green,17.0,green,99.0,green,18.0,green,98.0,green,18.0,green,99.0,green,,green,
160,2021-05-18,green,17.5,green,99.0,green,19.5,green,98.0,green,17.0,green,97.0,green,18.5,green,95.0,green,17.5,green,97.0,green,,green,
161,2021-05-19,blue,17.5,blue,,blue,21.0,green,99.0,blue,17.5,blue,,blue,20.5,green,98.0,blue,18.0,blue,,blue,,green,
162,2021-05-20,blue,,blue,,blue,20.5,green,99.0,blue,,blue,,blue,20.5,green,98.0,blue,,blue,,blue,,green,
163,2021-05-21,blue,,blue,,blue,22.0,green,99.0,blue,,blue,,blue,22.0,green,99.0,blue,,blue,,blue,,green,
164,2021-05-22,blue,,blue,,blue,22.0,green,99.0,blue,,blue,,blue,22.0,green,99.0,blue,,blue,,blue,,green,
165,2021-05-23,blue,,blue,,blue,23.0,green,98.0,blue,,blue,,blue,23.0,green,98.0,blue,,blue,,blue,,green,
166,2021-05-24,blue,,blue,,blue,23.5,green,99.0,blue,,blue,,blue,23.5,green,99.0,blue,,blue,,blue,,green,
167,2021-05-25,blue,,blue,,blue,24.5,green,99.0,blue,,blue,,blue,24.0,green,99.0,blue,,blue,,blue,,green,
168,2021-05-26,blue,,blue,,blue,21.0,green,99.0,blue,,blue,,blue,21.5,green,98.0,blue,,blue,,blue,,green,
169,2021-05-27,blue,,blue,,blue,18.0,green,99.0,blue,,blue,,blue,18.5,green,99.0,blue,,blue,,blue,,green,
170,2021-05-28,blue,,blue,,blue,13.0,blue,,blue,,blue,,blue,13.0,blue,,blue,,blue,,blue,,blue,
171,2021-05-29,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
172,2021-05-30,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
173,2021-05-31,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
174,2021-06-01,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
175,2021-06-02,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
176,2021-06-03,green,29.0,blue,,green,26.5,blue,,green,28.5,blue,,green,26.5,blue,,green,29.5,blue,,green,,blue,
177,2021-06-04,yellow,29.5,green,95.0,yellow,29.5,blue,,yellow,29.0,green,77.0,yellow,29.5,blue,,yellow,30.0,green,82.0,red,,blue,
178,2021-06-05,yellow,30.0,green,95.0,yellow,27.5,green,97.0,yellow,30.0,green,74.0,yellow,27.5,green,97.0,yellow,30.5,green,78.0,yellow,,green,
179,2021-06-06,yellow,28.0,green,95.0,green,25.5,green,97.0,green,28.0,yellow,45.0,green,25.5,green,96.0,yellow,28.5,green,74.0,yellow,,green,
180,2021-06-07,yellow,31.0,green,96.0,yellow,26.5,green,99.0,yellow,30.5,green,65.0,yellow,26.5,green,99.0,yellow,31.5,green,76.0,yellow,,green,
181,2021-06-08,yellow,31.5,green,87.0,yellow,28.0,green,98.0,green,31.0,green,70.0,yellow,28.0,green,99.0,yellow,31.5,green,81.0,yellow,,green,
182,2021-06-09,green,31.5,yellow,47.0,yellow,28.5,green,96.0,yellow,31.5,green,72.0,yellow,28.5,green,99.0,yellow,32.0,green,70.0,red,,green,
183,2021-06-10,green,32.0,yellow,55.0,yellow,30.0,green,99.0,green,32.0,green,76.0,yellow,30.0,green,98.0,yellow,32.0,green,75.0,yellow,,green,
184,2021-06-11,green,30.0,yellow,55.0,green,29.0,green,80.0,green,29.0,green,68.0,green,29.0,green,95.0,green,29.5,green,81.0,green,,green,
185,2021-06-12,yellow,30.5,green,68.0,green,29.5,yellow,49.0,yellow,29.5,green,81.0,green,29.5,green,87.0,yellow,30.5,green,89.0,green,,green,
186,2021-06-13,yellow,31.0,green,77.0,yellow,31.5,green,79.0,yellow,31.0,green,79.0,yellow,31.5,green,92.0,yellow,31.5,green,89.0,yellow,,green,
187,2021-06-14,yellow,30.5,green,79.0,green,30.0,green,87.0,yellow,30.0,green,78.0,green,30.0,green,95.0,yellow,30.5,green,89.0,green,,green,
188,2021-06-15,yellow,31.0,green,75.0,yellow,31.0,green,88.0,yellow,30.5,green,79.0,yellow,30.5,green,88.0,yellow,31.5,green,89.0,yellow,,green,
189,2021-06-16,green,30.5,green,70.0,green,31.0,green,93.0,green,30.0,green,77.0,green,31.0,green,89.0,green,30.5,green,87.0,green,,green,
190,2021-06-17,green,32.0,green,76.0,yellow,32.0,green,94.0,green,31.0,green,80.0,yellow,31.5,green,90.0,green,31.5,green,84.0,yellow,,green,
191,2021-06-18,green,31.0,green,74.0,green,30.5,green,93.0,green,30.0,green,70.0,yellow,30.0,green,82.0,yellow,30.5,green,80.0,green,,green,
192,2021-06-19,green,30.5,green,82.0,green,30.0,green,92.0,green,30.0,green,74.0,green,30.0,green,74.0,green,30.5,green,82.0,green,,green,
193,2021-06-20,green,30.0,green,77.0,green,29.5,green,83.0,green,28.5,green,81.0,green,29.5,green,70.0,green,29.5,green,84.0,green,,green,
194,2021-06-21,green,29.0,green,82.0,green,29.5,green,81.0,green,27.5,green,86.0,green,29.5,green,77.0,green,29.0,green,87.0,green,,green,
195,2021-06-22,green,29.0,green,77.0,green,29.0,green,90.0,green,27.5,green,88.0,green,29.5,green,80.0,green,29.0,green,82.0,green,,green,
196,2021-06-23,green,30.0,green,66.0,green,30.5,green,90.0,green,29.0,green,70.0,green,30.5,green,91.0,green,30.0,green,75.0,green,,green,
197,2021-06-24,green,30.0,yellow,43.0,green,29.5,green,84.0,green,29.0,green,66.0,green,29.5,green,88.0,green,29.5,yellow,55.0,green,,green,
198,2021-06-25,green,29.5,red,35.0,green,29.0,green,84.0,green,28.5,yellow,57.0,green,29.0,green,89.0,green,29.0,green,65.0,green,,green,
199,2021-06-26,green,28.0,red,31.0,green,28.5,green,75.0,green,27.0,yellow,53.0,green,28.0,green,87.0,green,28.0,green,68.0,green,,green,
200,2021-06-27,green,29.5,red,35.0,green,29.0,green,81.0,green,28.5,green,71.0,green,29.0,green,89.0,green,29.0,green,74.0,green,,green,
201,2021-06-28,green,29.5,yellow,44.0,green,29.5,green,76.0,green,28.5,green,69.0,green,29.5,green,88.0,green,29.0,green,74.0,green,,green,
202,2021-06-29,green,29.5,red,37.0,green,29.5,green,77.0,green,29.0,green,71.0,green,29.5,green,82.0,green,29.5,green,81.0,green,,green,
203,2021-06-30,green,30.0,red,34.0,green,29.5,green,69.0,green,29.0,green,80.0,green,29.0,green,86.0,green,29.5,green,76.0,green,,green,
204,2021-07-01,green,29.5,yellow,48.0,green,29.0,green,66.0,green,28.5,green,88.0,green,29.0,green,76.0,green,29.0,green,81.0,blue,,blue,
205,2021-07-02,green,29.5,red,36.0,green,29.0,green,73.0,green,29.0,green,85.0,yellow,28.5,green,71.0,green,29.5,green,79.0,blue,,blue,
206,2021-07-03,green,29.0,red,35.0,green,29.5,green,64.0,green,28.5,green,87.0,yellow,29.0,green,65.0,green,29.0,green,82.0,blue,,blue,
207,2021-07-04,green,29.5,red,36.0,green,29.5,green,75.0,green,29.0,green,87.0,green,29.0,green,65.0,green,29.5,green,84.0,blue,,blue,
208,2021-07-05,green,30.0,yellow,46.0,green,30.0,green,83.0,green,29.5,green,90.0,yellow,30.0,green,67.0,green,30.0,green,85.0,blue,,blue,
209,2021-07-06,green,29.5,yellow,45.0,green,30.0,green,85.0,green,29.0,green,94.0,green,29.5,green,70.0,green,29.5,green,90.0,blue,,blue,
210,2021-07-07,green,28.0,yellow,49.0,green,27.5,green,80.0,green,27.0,green,91.0,green,26.5,yellow,56.0,green,27.0,green,84.0,blue,,blue,
211,2021-07-08,green,27.5,yellow,47.0,green,27.0,green,80.0,green,26.0,green,88.0,green,26.5,green,66.0,green,26.5,green,79.0,blue,,blue,
212,2021-07-09,green,28.5,yellow,51.0,green,28.0,green,90.0,green,27.0,green,86.0,green,27.5,green,71.0,green,27.0,green,80.0,blue,,blue,
213,2021-07-10,green,27.5,yellow,47.0,green,27.0,green,86.0,green,26.0,green,86.0,green,26.0,yellow,55.0,green,26.0,green,72.0,blue,,blue,
214,2021-07-11,green,28.0,green,64.0,green,27.0,green,86.0,green,26.5,green,85.0,green,26.5,green,66.0,green,26.5,green,74.0,blue,,blue,
215,2021-07-12,green,27.5,yellow,54.0,green,27.5,green,91.0,green,26.5,green,89.0,yellow,27.0,green,76.0,yellow,26.5,green,74.0,blue,,blue,
216,2021-07-13,green,27.5,yellow,53.0,green,27.5,green,84.0,green,26.5,green,85.0,green,27.5,green,64.0,green,26.5,green,72.0,blue,,blue,
217,2021-07-14,green,28.0,yellow,52.0,green,27.5,green,89.0,green,27.0,green,81.0,green,27.5,yellow,50.0,green,27.0,green,67.0,blue,,blue,
218,2021-07-15,green,28.0,yellow,55.0,green,27.5,green,89.0,green,27.0,green,89.0,yellow,27.0,yellow,49.0,yellow,27.0,green,70.0,blue,,blue,
219,2021-07-16,green,28.0,yellow,53.0,green,27.5,green,84.0,green,27.0,green,87.0,yellow,27.0,yellow,53.0,yellow,27.0,green,66.0,blue,,blue,
220,2021-07-17,green,28.0,green,67.0,green,27.5,green,82.0,green,27.0,green,90.0,yellow,27.5,yellow,44.0,green,27.0,green,66.0,blue,,blue,
221,2021-07-18,green,28.0,yellow,54.0,green,27.5,green,86.0,green,27.5,green,88.0,yellow,27.5,yellow,52.0,yellow,27.5,green,67.0,blue,,blue,
222,2021-07-19,green,28.0,green,70.0,green,27.5,green,87.0,yellow,27.5,green,89.0,yellow,27.5,yellow,57.0,yellow,27.5,green,71.0,blue,,blue,
223,2021-07-20,green,28.5,green,67.0,green,27.5,green,86.0,yellow,27.5,green,93.0,yellow,27.0,yellow,55.0,yellow,27.5,green,77.0,blue,,blue,
224,2021-07-21,green,28.0,green,70.0,yellow,28.0,green,87.0,yellow,27.5,green,90.0,yellow,27.5,yellow,56.0,yellow,27.5,green,72.0,blue,,blue,
225,2021-07-22,green,27.5,green,76.0,green,28.0,green,89.0,green,27.0,green,87.0,yellow,27.0,yellow,57.0,yellow,27.0,green,72.0,blue,,blue,
226,2021-07-23,green,28.5,green,74.0,yellow,29.5,green,91.0,green,28.0,green,92.0,yellow,28.5,green,66.0,green,28.5,green,74.0,blue,,blue,
227,2021-07-24,red,28.5,green,72.0,green,29.0,green,93.0,green,28.5,green,94.0,yellow,28.5,green,70.0,yellow,29.0,green,82.0,blue,,blue,
228,2021-07-25,green,26.5,green,73.0,yellow,28.5,green,84.0,green,27.5,green,94.0,yellow,27.5,yellow,56.0,yellow,28.0,green,75.0,blue,,blue,
229,2021-07-26,green,28.0,green,78.0,green,28.5,green,84.0,yellow,27.0,green,93.0,yellow,27.0,yellow,54.0,yellow,27.5,green,71.0,green,,blue,
230,2021-07-27,yellow,29.0,green,77.0,yellow,29.5,green,90.0,yellow,28.0,green,97.0,yellow,28.5,green,74.0,yellow,28.5,green,80.0,yellow,30.5,yellow,55.0
231,2021-07-28,yellow,30.0,green,80.0,yellow,30.0,green,99.0,green,29.5,green,99.0,yellow,30.0,green,88.0,green,30.0,green,89.0,green,30.5,green,78.0
232,2021-07-29,green,29.0,green,78.0,green,29.0,green,96.0,green,28.5,green,98.0,yellow,28.5,green,83.0,green,29.0,green,91.0,green,29.0,green,71.0
233,2021-07-30,green,26.5,green,68.0,green,27.0,green,87.0,green,26.0,green,85.0,green,25.5,green,64.0,green,26.0,green,71.0,green,28.5,yellow,50.0
234,2021-07-31,green,27.0,green,64.0,green,27.5,green,85.0,green,26.5,green,76.0,green,26.0,yellow,54.0,yellow,26.0,green,70.0,green,28.5,yellow,57.0
235,2021-08-01,green,26.5,green,79.0,green,27.0,green,86.0,green,26.0,green,86.0,green,25.0,yellow,56.0,green,25.0,green,70.0,green,28.0,yellow,57.0
236,2021-08-02,green,26.5,green,84.0,green,26.5,green,87.0,green,26.0,green,76.0,green,25.0,green,65.0,yellow,25.5,green,74.0,green,27.5,green,72.0
237,2021-08-03,green,26.5,green,73.0,green,27.0,green,92.0,green,26.0,green,69.0,green,25.0,green,74.0,yellow,25.0,green,71.0,green,28.0,green,71.0
238,2021-08-04,green,26.5,green,76.0,green,27.0,green,90.0,green,26.0,green,75.0,green,25.5,green,72.0,green,25.5,green,69.0,green,28.0,green,71.0
239,2021-08-05,green,26.5,yellow,56.0,green,27.0,green,92.0,green,26.0,green,66.0,green,26.0,yellow,55.0,green,25.5,yellow,54.0,green,28.0,yellow,57.0
240,2021-08-06,green,27.0,yellow,46.0,green,28.0,green,94.0,green,26.5,green,64.0,green,27.0,green,71.0,green,26.5,green,68.0,green,28.5,green,70.0
241,2021-08-07,green,27.0,yellow,48.0,green,27.5,green,97.0,green,26.5,green,93.0,green,27.0,green,76.0,green,27.0,green,74.0,green,28.0,green,64.0
242,2021-08-08,green,26.5,red,31.0,green,27.0,green,86.0,green,26.0,green,82.0,green,26.0,yellow,45.0,green,26.0,yellow,54.0,green,27.5,red,35.0
243,2021-08-09,green,28.0,yellow,49.0,green,28.5,green,96.0,green,27.5,green,91.0,green,28.0,yellow,51.0,green,28.0,green,82.0,green,28.5,red,32.0
244,2021-08-10,green,27.5,green,66.0,green,28.0,green,96.0,green,27.5,green,98.0,green,27.5,green,82.0,green,27.5,green,89.0,green,28.0,red,36.0
245,2021-08-11,green,28.0,green,67.0,green,28.0,green,98.0,yellow,27.5,green,96.0,yellow,27.5,green,73.0,yellow,28.0,green,90.0,green,28.5,red,36.0
246,2021-08-12,green,27.0,yellow,54.0,green,27.0,green,85.0,green,26.0,green,82.0,yellow,26.0,yellow,48.0,yellow,26.0,green,75.0,green,28.0,yellow,44.0
247,2021-08-13,green,26.5,green,64.0,green,26.5,green,85.0,green,25.5,green,84.0,yellow,25.0,yellow,50.0,yellow,25.5,green,77.0,green,28.0,red,35.0
248,2021-08-14,green,26.0,green,72.0,green,26.5,green,82.0,green,25.5,green,90.0,yellow,25.0,yellow,47.0,yellow,25.0,green,78.0,green,27.5,red,37.0
249,2021-08-15,green,26.0,green,74.0,green,26.5,green,84.0,green,25.5,green,87.0,yellow,25.0,yellow,51.0,green,25.0,green,82.0,green,27.5,yellow,50.0
250,2021-08-16,green,26.0,green,79.0,green,27.0,green,84.0,green,25.5,green,85.0,yellow,25.0,yellow,50.0,yellow,25.0,green,79.0,green,27.5,yellow,50.0
251,2021-08-17,yellow,26.5,green,83.0,yellow,27.5,green,85.0,green,26.0,green,93.0,yellow,26.0,green,65.0,green,26.0,green,84.0,yellow,28.0,yellow,57.0
252,2021-08-18,yellow,26.5,green,82.0,green,27.0,green,93.0,green,26.0,green,95.0,yellow,26.0,green,73.0,green,26.0,green,93.0,green,27.5,green,71.0
253,2021-08-19,yellow,27.0,green,92.0,yellow,27.5,green,96.0,yellow,26.5,green,98.0,yellow,27.0,green,79.0,yellow,27.0,green,90.0,yellow,28.0,green,74.0
254,2021-08-20,yellow,27.0,green,86.0,yellow,27.5,green,99.0,yellow,26.5,green,98.0,yellow,27.0,green,84.0,yellow,27.0,green,94.0,yellow,28.0,green,81.0
255,2021-08-21,green,25.5,green,89.0,green,25.5,green,95.0,green,24.5,green,94.0,green,24.0,green,77.0,green,24.5,green,94.0,green,26.5,green,75.0
256,2021-08-22,green,25.5,green,74.0,green,26.0,green,94.0,green,25.0,green,89.0,green,24.5,green,74.0,green,24.5,green,87.0,green,27.0,green,79.0
257,2021-08-23,yellow,28.5,green,79.0,yellow,29.0,green,98.0,yellow,28.0,green,96.0,yellow,28.5,green,82.0,yellow,28.5,green,85.0,yellow,29.5,green,87.0
258,2021-08-24,green,27.5,green,96.0,green,28.5,green,99.0,green,27.5,green,99.0,green,28.0,green,93.0,green,28.0,green,99.0,green,28.0,green,89.0
259,2021-08-25,yellow,27.0,green,95.0,green,27.5,green,99.0,yellow,27.0,green,98.0,yellow,26.5,green,93.0,yellow,27.0,green,97.0,green,27.0,green,87.0
260,2021-08-26,green,25.5,green,95.0,green,26.0,green,99.0,green,25.0,green,99.0,green,25.5,green,90.0,green,25.5,green,96.0,green,26.5,green,90.0
261,2021-08-27,yellow,27.5,green,97.0,green,28.5,green,99.0,green,27.5,green,99.0,yellow,27.5,green,96.0,yellow,28.0,green,99.0,yellow,28.0,green,87.0
262,2021-08-28,yellow,28.0,green,99.0,yellow,28.5,green,99.0,yellow,27.5,green,99.0,yellow,28.0,green,98.0,yellow,28.0,green,97.0,yellow,28.0,green,93.0
263,2021-08-29,green,25.5,green,94.0,green,25.5,green,99.0,green,24.5,green,98.0,green,24.5,green,89.0,yellow,25.0,green,95.0,green,26.0,green,88.0
264,2021-08-30,green,25.5,green,95.0,yellow,26.0,green,95.0,green,24.5,green,94.0,yellow,24.5,green,80.0,green,24.5,green,88.0,green,26.5,green,85.0
265,2021-08-31,green,24.5,green,94.0,green,25.0,green,97.0,green,24.0,green,95.0,green,24.0,green,86.0,green,24.0,green,87.0,green,25.5,green,78.0
266,2021-09-01,green,24.5,green,95.0,green,25.0,green,94.0,green,24.0,green,92.0,green,23.5,green,83.0,green,23.5,green,91.0,green,26.0,green,72.0
267,2021-09-02,green,24.0,green,92.0,green,24.5,green,98.0,green,23.0,green,96.0,green,23.0,green,80.0,green,23.0,green,91.0,green,25.5,green,85.0
268,2021-09-03,green,24.5,green,97.0,green,24.5,green,98.0,green,23.5,green,94.0,green,24.0,green,88.0,green,24.0,green,91.0,green,25.5,green,87.0
269,2021-09-04,green,24.5,green,92.0,green,24.5,green,98.0,green,23.5,green,94.0,green,23.5,green,88.0,green,24.0,green,90.0,green,25.0,green,89.0
270,2021-09-05,yellow,25.0,green,98.0,green,25.5,green,98.0,yellow,24.5,green,96.0,yellow,24.5,green,88.0,green,24.0,green,94.0,green,26.5,green,91.0
271,2021-09-06,yellow,26.0,green,97.0,yellow,26.5,green,99.0,yellow,25.5,green,96.0,yellow,25.5,green,87.0,yellow,25.0,green,91.0,yellow,27.0,green,92.0
272,2021-09-07,green,25.0,green,99.0,green,25.0,green,99.0,green,24.5,green,98.0,green,24.5,green,97.0,yellow,25.0,green,93.0,green,25.5,green,94.0
273,2021-09-08,green,24.5,green,95.0,green,24.5,green,98.0,green,23.5,green,96.0,green,23.0,green,88.0,yellow,23.0,green,93.0,green,25.5,green,89.0
274,2021-09-09,green,24.0,green,94.0,green,24.5,green,97.0,green,23.5,green,96.0,green,23.0,green,88.0,green,22.5,green,92.0,green,25.5,green,85.0
275,2021-09-10,yellow,25.0,green,95.0,yellow,25.5,green,98.0,yellow,24.5,green,98.0,yellow,24.5,green,87.0,yellow,23.5,green,94.0,yellow,26.5,green,76.0
276,2021-09-11,red,26.5,green,96.0,yellow,27.0,green,99.0,yellow,26.0,green,98.0,red,26.5,green,92.0,red,26.0,green,92.0,red,27.5,green,75.0
277,2021-09-12,green,23.5,green,97.0,green,24.5,green,99.0,green,23.5,green,98.0,green,23.5,green,93.0,green,24.0,green,96.0,green,24.5,green,94.0
278,2021-09-13,yellow,24.5,green,97.0,green,25.5,green,97.0,yellow,24.0,green,98.0,yellow,24.5,green,88.0,green,24.5,green,96.0,yellow,25.5,green,87.0
279,2021-09-14,green,23.0,green,92.0,green,23.5,green,96.0,green,22.5,green,94.0,green,23.0,green,90.0,green,23.0,green,92.0,green,24.0,green,86.0
280,2021-09-15,yellow,24.0,green,97.0,yellow,24.5,green,92.0,yellow,23.5,green,94.0,yellow,23.5,green,88.0,yellow,22.5,green,90.0,yellow,25.5,green,86.0
281,2021-09-16,red,26.0,green,94.0,yellow,26.5,green,96.0,yellow,25.0,green,97.0,yellow,25.5,green,93.0,yellow,25.5,green,88.0,yellow,26.5,green,90.0
282,2021-09-17,green,22.5,green,97.0,green,23.5,green,97.0,green,22.5,green,97.0,green,22.5,green,95.0,yellow,22.5,green,92.0,green,23.5,green,92.0
283,2021-09-18,red,24.5,green,97.0,yellow,25.5,green,92.0,yellow,24.5,green,98.0,yellow,24.5,green,87.0,yellow,23.5,green,88.0,yellow,26.0,green,78.0
284,2021-09-19,red,26.0,green,96.0,yellow,27.0,green,98.0,yellow,26.0,green,98.0,yellow,26.0,green,97.0,red,26.0,green,97.0,red,26.5,green,81.0
285,2021-09-20,green,22.0,green,94.0,green,23.0,green,98.0,green,22.0,green,93.0,green,22.0,green,94.0,green,22.5,green,93.0,green,22.5,green,86.0
286,2021-09-21,green,22.0,green,87.0,green,22.0,green,94.0,green,21.0,green,95.0,green,21.0,green,88.0,yellow,21.0,green,84.0,yellow,23.0,green,81.0
287,2021-09-22,green,21.5,green,86.0,green,22.0,green,91.0,green,21.0,green,96.0,green,20.5,green,82.0,yellow,19.5,green,81.0,green,23.5,green,75.0
288,2021-09-23,yellow,22.0,green,86.0,yellow,22.5,green,95.0,yellow,21.0,green,95.0,yellow,21.5,green,80.0,yellow,20.5,green,75.0,green,24.0,green,71.0
289,2021-09-24,green,21.5,green,84.0,green,21.5,green,94.0,green,21.0,green,97.0,green,21.0,green,89.0,yellow,21.0,green,83.0,green,22.5,green,86.0
290,2021-09-25,yellow,22.0,green,82.0,yellow,22.5,green,91.0,yellow,21.5,green,95.0,yellow,21.0,green,83.0,yellow,20.5,green,71.0,yellow,24.0,green,78.0
291,2021-09-26,red,24.0,green,91.0,red,24.5,green,99.0,red,23.5,green,98.0,red,24.0,green,87.0,red,24.0,green,89.0,red,25.0,green,86.0
292,2021-09-27,red,24.5,green,89.0,red,25.0,green,98.0,red,24.5,green,99.0,red,24.0,green,90.0,red,25.0,green,88.0,red,25.0,green,86.0
293,2021-09-28,red,25.0,green,88.0,red,25.5,green,95.0,red,24.5,green,98.0,red,24.5,green,90.0,red,25.0,green,90.0,red,25.0,green,86.0
294,2021-09-29,yellow,23.5,green,86.0,yellow,24.5,green,86.0,yellow,23.5,green,98.0,yellow,24.0,green,87.0,yellow,24.0,green,94.0,yellow,24.0,green,83.0
295,2021-09-30,yellow,23.0,green,90.0,yellow,24.5,green,93.0,yellow,23.5,green,98.0,yellow,23.5,green,93.0,yellow,23.5,green,96.0,yellow,23.0,green,87.0
296,2021-10-01,yellow,21.5,green,69.0,green,23.0,green,98.0,green,22.0,green,99.0,yellow,22.0,green,94.0,green,22.0,green,95.0,green,22.0,green,86.0
297,2021-10-02,green,21.0,yellow,49.0,green,22.0,green,99.0,green,21.0,green,99.0,green,20.5,green,95.0,green,21.5,green,78.0,green,21.0,green,86.0
298,2021-10-03,yellow,22.0,green,82.0,yellow,22.0,green,99.0,yellow,21.5,green,99.0,yellow,21.0,green,89.0,yellow,22.0,green,95.0,green,21.5,green,86.0
299,2021-10-04,yellow,22.0,green,70.0,yellow,22.0,green,97.0,yellow,21.5,green,98.0,yellow,21.0,green,88.0,yellow,21.5,green,84.0,yellow,22.5,green,88.0
300,2021-10-05,green,21.0,yellow,56.0,green,21.5,green,98.0,green,21.0,green,98.0,green,20.5,green,88.0,green,20.5,green,75.0,green,22.0,green,86.0
301,2021-10-06,green,20.5,yellow,51.0,green,22.0,green,99.0,green,21.0,green,99.0,green,21.0,green,89.0,green,21.5,green,82.0,green,21.0,green,86.0
302,2021-10-07,green,21.0,green,86.0,green,22.5,green,98.0,green,21.5,green,95.0,yellow,21.5,green,94.0,green,21.5,green,79.0,green,21.5,green,92.0
303,2021-10-08,red,23.0,green,86.0,yellow,23.5,green,99.0,yellow,22.5,green,94.0,yellow,23.0,green,92.0,yellow,23.0,green,80.0,red,23.5,green,87.0
304,2021-10-09,green,22.0,green,87.0,green,23.0,green,98.0,green,22.0,green,86.0,green,22.0,green,95.0,green,22.5,green,86.0,green,22.0,green,80.0
305,2021-10-10,green,20.5,green,66.0,green,21.0,green,98.0,green,20.5,green,94.0,green,20.0,green,86.0,green,21.0,green,70.0,green,20.5,green,77.0
306,2021-10-11,yellow,20.5,green,75.0,green,20.5,green,98.0,green,20.0,green,97.0,green,19.5,green,79.0,yellow,20.5,green,75.0,green,21.0,green,70.0
307,2021-10-12,green,20.5,yellow,50.0,green,20.5,green,96.0,green,20.5,green,97.0,green,19.5,green,83.0,green,20.5,green,77.0,green,21.0,green,79.0
308,2021-10-13,green,21.0,green,79.0,green,21.0,green,99.0,green,20.0,green,94.0,green,20.0,green,92.0,green,21.0,green,86.0,green,21.0,green,85.0
309,2021-10-14,green,20.0,green,80.0,green,19.0,green,97.0,green,19.0,green,93.0,green,18.5,green,89.0,green,18.5,green,88.0,yellow,21.0,green,87.0
310,2021-10-15,green,20.0,green,80.0,green,19.0,green,99.0,green,19.0,green,94.0,green,18.0,green,91.0,yellow,18.5,green,92.0,green,20.5,green,89.0
311,2021-10-16,green,20.0,green,82.0,green,19.0,green,96.0,green,19.0,green,94.0,green,18.0,green,92.0,yellow,17.5,green,91.0,green,21.0,green,83.0
312,2021-10-17,green,20.5,green,82.0,yellow,19.5,green,99.0,green,19.5,green,94.0,yellow,19.0,green,91.0,yellow,18.5,green,91.0,yellow,21.5,green,94.0
313,2021-10-18,green,21.0,green,81.0,yellow,20.5,green,98.0,yellow,20.0,green,96.0,yellow,20.0,green,93.0,green,20.0,green,92.0,green,21.5,green,94.0
