,Date (America/Chicago),"Maschhoff_G1TC_RM1_CC Temp shock - color
174,2021-06-13,red,25.5,green,90.0,red,26.0,green,95.0,red,26.0,green,92.0,yellow,27.5,green,97.0,red,28.0,green,98.0,red,26.5,green,96.0,red,25.5,green,98.0,red,25.5,green,93.0,red,27.5,green,99.0,red,26.5,green,96.0
175,2021-06-14,yellow,25.0,green,96.0,yellow,25.5,green,93.0,yellow,25.0,green,95.0,yellow,27.0,green,98.0,yellow,27.5,green,98.0,yellow,26.5,green,98.0,yellow,25.0,green,96.0,yellow,25.0,green,89.0,yellow,27.0,green,99.0,yellow,26.0,green,98.0
176,2021-06-15,yellow,25.0,green,94.0,yellow,24.5,green,95.0,blue,20.5,blue,,yellow,26.5,green,99.0,yellow,27.0,green,96.0,yellow,26.0,green,95.0,yellow,25.5,green,93.0,blue,21.0,blue,,yellow,26.5,green,99.0,yellow,26.0,green,97.0
177,2021-06-16,yellow,24.0,green,96.0,red,23.5,green,95.0,blue,,blue,,yellow,25.5,green,96.0,yellow,26.5,green,99.0,red,25.0,green,93.0,red,24.5,green,96.0,blue,,blue,,yellow,26.0,green,99.0,yellow,25.0,green,98.0
178,2021-06-17,yellow,27.0,green,97.0,yellow,27.0,green,94.0,blue,,blue,,yellow,28.0,green,99.0,yellow,29.0,green,99.0,yellow,27.5,green,95.0,yellow,27.0,green,94.0,blue,,blue,,yellow,28.5,green,99.0,yellow,28.0,green,93.0
179,2021-06-18,yellow,28.5,green,98.0,yellow,29.5,green,86.0,blue,,blue,,yellow,30.0,green,99.0,yellow,30.5,green,99.0,yellow,30.0,green,95.0,yellow,29.5,green,94.0,blue,,blue,,yellow,30.5,green,99.0,yellow,30.0,green,97.0
180,2021-06-19,green,24.0,green,98.0,green,24.0,green,94.0,blue,,blue,,green,25.5,green,99.0,green,26.0,green,98.0,green,25.5,green,97.0,green,24.0,green,96.0,blue,,blue,,green,26.0,green,99.0,green,25.5,green,96.0
181,2021-06-20,green,25.5,green,97.0,green,26.0,green,96.0,blue,,blue,,green,27.0,green,99.0,green,27.5,green,99.0,green,27.0,green,96.0,green,26.0,green,98.0,blue,,blue,,green,27.5,green,99.0,green,27.0,green,97.0
182,2021-06-21,green,22.0,green,93.0,green,22.5,green,90.0,blue,,blue,,green,23.0,green,97.0,green,24.0,green,98.0,green,23.5,green,95.0,green,22.5,green,93.0,blue,,blue,,green,24.0,green,98.0,green,23.5,green,94.0
183,2021-06-22,green,21.5,green,95.0,green,21.5,green,95.0,blue,,blue,,green,22.0,green,99.0,green,23.5,green,98.0,green,23.5,green,96.0,green,23.5,green,95.0,blue,,blue,,green,23.0,green,99.0,green,23.0,green,95.0
184,2021-06-23,yellow,23.5,green,99.0,yellow,24.5,green,98.0,blue,,blue,,yellow,25.0,green,99.0,yellow,25.5,green,99.0,yellow,25.5,green,96.0,yellow,25.0,green,98.0,blue,,blue,,yellow,25.5,green,98.0,yellow,25.5,green,98.0
185,2021-06-24,green,22.0,green,97.0,green,22.5,green,96.0,blue,,blue,,green,23.5,green,99.0,green,24.5,green,99.0,green,24.0,green,97.0,green,22.5,green,96.0,blue,,blue,,green,24.5,green,99.0,green,23.5,green,97.0
186,2021-06-25,yellow,23.5,green,99.0,yellow,24.5,green,96.0,blue,,blue,,yellow,25.0,green,99.0,yellow,26.0,green,99.0,yellow,25.5,green,99.0,yellow,24.0,green,97.0,blue,,blue,,yellow,26.0,green,99.0,yellow,25.0,green,96.0
187,2021-06-26,green,24.5,green,95.0,green,25.0,green,96.0,blue,,blue,,green,26.0,green,99.0,green,26.5,green,99.0,green,26.0,green,99.0,green,25.0,green,96.0,blue,,blue,,green,26.5,green,99.0,green,25.5,green,98.0
188,2021-06-27,green,24.5,green,98.0,yellow,25.0,green,96.0,blue,,blue,,green,26.0,green,99.0,yellow,26.5,green,99.0,yellow,26.0,green,97.0,yellow,25.0,green,98.0,blue,,blue,,yellow,26.5,green,99.0,yellow,25.5,green,98.0
189,2021-06-28,green,24.0,green,99.0,green,25.0,green,94.0,blue,,blue,,green,25.5,green,99.0,green,26.0,green,99.0,green,25.5,green,99.0,green,24.5,green,95.0,blue,,blue,,green,26.0,green,99.0,green,25.5,green,95.0
190,2021-06-29,green,24.5,green,99.0,yellow,25.5,green,97.0,blue,,blue,,green,26.0,green,96.0,green,26.5,green,99.0,green,26.0,green,99.0,green,25.5,green,99.0,blue,,blue,,green,26.5,green,99.0,green,26.0,green,97.0
191,2021-06-30,green,23.0,green,97.0,green,24.0,green,97.0,blue,,blue,,green,24.5,green,98.0,green,25.0,green,99.0,green,24.5,green,99.0,green,24.0,green,99.0,blue,,blue,,green,25.0,green,99.0,green,24.0,green,96.0
192,2021-07-01,yellow,23.5,green,99.0,yellow,24.5,green,99.0,blue,,blue,,yellow,24.5,green,97.0,yellow,25.5,green,99.0,yellow,25.0,green,98.0,yellow,24.5,green,96.0,blue,,blue,,yellow,25.0,green,99.0,yellow,24.5,green,98.0
193,2021-07-02,green,21.0,green,98.0,yellow,21.0,green,99.0,blue,,blue,,green,22.0,green,99.0,green,23.0,green,98.0,green,22.5,green,98.0,green,23.5,green,97.0,blue,,blue,,green,23.0,green,97.0,green,22.5,green,97.0
194,2021-07-03,yellow,22.0,green,98.0,yellow,22.0,green,99.0,blue,,blue,,green,23.0,green,99.0,yellow,24.0,green,98.0,green,23.0,green,98.0,yellow,24.0,green,98.0,blue,,blue,,yellow,23.5,green,99.0,green,23.0,green,98.0
195,2021-07-04,yellow,24.0,green,97.0,yellow,24.5,green,98.0,blue,,blue,,yellow,25.0,green,98.0,yellow,26.0,green,99.0,yellow,25.5,green,99.0,yellow,26.0,green,97.0,blue,,blue,,yellow,25.5,green,99.0,yellow,25.5,green,98.0
196,2021-07-05,yellow,25.0,green,99.0,yellow,26.0,green,98.0,blue,,blue,,yellow,26.0,green,99.0,yellow,27.0,green,99.0,yellow,26.5,green,99.0,yellow,26.5,green,97.0,blue,,blue,,yellow,26.5,green,96.0,yellow,26.5,green,99.0
197,2021-07-06,yellow,25.5,green,99.0,yellow,26.0,green,99.0,blue,,blue,,green,63.5,green,99.0,yellow,27.0,green,99.0,yellow,26.5,green,99.0,yellow,26.0,green,97.0,blue,,blue,,yellow,26.5,green,99.0,yellow,26.0,green,99.0
198,2021-07-07,yellow,25.5,green,99.0,yellow,26.5,green,99.0,blue,,blue,,yellow,122.5,green,97.0,yellow,27.0,green,99.0,yellow,27.0,green,99.0,yellow,26.5,green,98.0,blue,,blue,,yellow,27.0,green,99.0,yellow,26.5,green,97.0
199,2021-07-08,green,22.0,green,99.0,green,22.5,green,99.0,blue,,blue,,green,23.0,green,99.0,green,24.0,green,98.0,green,23.0,green,99.0,green,22.5,green,98.0,blue,,blue,,green,23.5,green,99.0,green,23.0,green,99.0
200,2021-07-09,yellow,20.0,green,99.0,yellow,20.5,green,99.0,blue,,blue,,yellow,21.0,green,99.0,yellow,21.5,green,99.0,yellow,21.0,green,97.0,yellow,21.0,green,98.0,blue,,blue,,yellow,21.0,green,99.0,yellow,21.0,green,99.0
201,2021-07-10,green,20.0,green,99.0,green,21.0,green,99.0,blue,,blue,,green,21.0,green,98.0,green,21.5,green,99.0,green,21.0,green,98.0,green,20.5,green,97.0,blue,,blue,,green,21.0,green,98.0,green,20.5,green,98.0
202,2021-07-11,green,20.5,green,98.0,green,21.5,green,98.0,blue,,blue,,green,21.5,green,99.0,green,22.5,green,98.0,green,21.5,green,99.0,green,21.5,green,99.0,blue,,blue,,green,22.0,green,98.0,green,21.5,green,98.0
203,2021-07-12,green,20.5,green,99.0,green,21.5,green,98.0,blue,,blue,,green,21.0,green,99.0,green,22.0,green,97.0,green,21.5,green,98.0,green,21.0,green,97.0,blue,,blue,,green,21.5,green,99.0,green,20.5,green,98.0
204,2021-07-13,green,21.5,green,98.0,green,22.5,green,99.0,blue,,blue,,green,22.0,green,99.0,green,23.0,green,97.0,yellow,23.0,green,98.0,yellow,22.5,green,99.0,blue,,blue,,green,23.0,green,99.0,green,22.5,green,99.0
205,2021-07-14,green,24.0,green,99.0,green,25.0,green,99.0,blue,,blue,,green,24.0,green,99.0,green,25.5,green,96.0,green,24.5,green,99.0,yellow,25.0,green,99.0,blue,,blue,,green,25.0,green,98.0,green,24.5,green,97.0
206,2021-07-15,green,23.0,green,99.0,green,24.0,green,99.0,blue,,blue,,green,24.0,green,99.0,green,25.0,green,99.0,green,23.5,green,99.0,green,23.5,green,99.0,blue,,blue,,green,23.5,green,99.0,green,23.0,green,96.0
207,2021-07-16,green,22.0,green,99.0,green,22.5,green,96.0,blue,,blue,,green,22.5,green,99.0,green,23.5,green,98.0,green,22.5,green,99.0,green,22.5,green,99.0,blue,,blue,,green,22.5,green,98.0,green,22.5,green,98.0
208,2021-07-17,yellow,22.5,green,96.0,yellow,23.0,green,99.0,blue,,blue,,yellow,23.0,green,99.0,yellow,24.0,green,99.0,yellow,23.0,green,99.0,yellow,23.0,green,99.0,blue,,blue,,yellow,23.5,green,99.0,yellow,23.0,green,99.0
209,2021-07-18,yellow,23.0,green,98.0,yellow,24.0,green,99.0,blue,,blue,,yellow,24.0,green,96.0,yellow,25.0,green,99.0,yellow,24.0,green,99.0,yellow,24.0,green,97.0,blue,,blue,,yellow,24.5,green,98.0,yellow,24.0,green,99.0
210,2021-07-19,blue,24.0,green,99.0,blue,25.0,green,99.0,blue,,blue,,blue,24.5,green,99.0,blue,26.0,green,99.0,blue,26.0,green,96.0,blue,27.0,green,96.0,blue,,blue,,yellow,25.5,green,99.0,green,25.5,green,95.0
211,2021-07-20,green,25.5,green,99.0,green,26.5,green,99.0,blue,,blue,,green,26.0,green,99.0,green,27.5,green,99.0,green,28.5,green,89.0,green,31.0,green,89.0,blue,,blue,,green,28.0,green,99.0,green,29.0,green,92.0
212,2021-07-21,green,26.0,green,98.0,green,27.0,green,98.0,blue,,blue,,green,26.5,green,98.0,green,28.0,green,97.0,green,29.0,green,97.0,green,31.0,green,99.0,blue,,blue,,green,28.5,green,98.0,green,29.0,green,99.0
213,2021-07-22,green,27.0,green,99.0,green,28.0,green,98.0,blue,,blue,,green,27.5,green,99.0,green,28.5,green,99.0,green,30.0,green,99.0,green,32.0,green,99.0,blue,,blue,,yellow,29.0,green,98.0,yellow,29.5,green,99.0
214,2021-07-23,green,27.5,green,96.0,green,28.5,green,99.0,blue,,blue,,green,28.0,green,99.0,green,29.0,green,99.0,yellow,30.0,green,96.0,yellow,31.0,green,92.0,blue,,blue,,yellow,29.5,green,99.0,green,30.0,green,99.0
215,2021-07-24,green,28.5,green,99.0,green,29.0,green,99.0,blue,,blue,,yellow,29.0,green,98.0,green,30.0,green,99.0,yellow,30.5,green,99.0,yellow,30.0,green,99.0,blue,,blue,,yellow,30.0,green,98.0,yellow,30.5,green,99.0
216,2021-07-25,green,27.5,green,99.0,green,28.5,green,99.0,blue,,blue,,yellow,28.5,green,98.0,green,29.5,green,99.0,yellow,29.5,green,97.0,yellow,29.0,green,99.0,blue,,blue,,yellow,29.5,green,99.0,green,29.5,green,99.0
217,2021-07-26,blue,27.0,green,99.0,blue,28.0,green,99.0,blue,,blue,,blue,27.5,green,99.0,blue,29.0,green,99.0,blue,30.0,green,98.0,blue,29.0,green,97.0,blue,,blue,,blue,29.5,green,98.0,blue,30.0,green,99.0
218,2021-07-27,blue,26.5,green,98.0,blue,27.0,green,99.0,blue,,blue,,blue,27.5,green,99.0,blue,28.5,green,99.0,blue,29.5,green,96.0,blue,28.0,green,94.0,blue,,blue,,blue,29.5,green,99.0,blue,29.5,green,99.0
219,2021-07-28,blue,27.0,green,99.0,blue,27.5,green,98.0,blue,,blue,,blue,27.5,green,96.0,blue,29.0,green,98.0,blue,29.5,green,96.0,blue,28.5,green,96.0,blue,,blue,,blue,29.0,green,99.0,blue,29.5,green,99.0
220,2021-07-29,blue,27.5,green,99.0,blue,28.0,green,98.0,blue,,blue,,blue,28.0,green,99.0,blue,29.0,green,99.0,blue,29.0,green,99.0,blue,28.0,green,98.0,blue,,blue,,blue,28.5,green,99.0,blue,28.5,green,99.0
221,2021-07-30,green,26.0,green,94.0,green,26.5,green,98.0,blue,,blue,,green,26.5,green,98.0,blue,28.0,green,94.0,green,26.5,green,98.0,green,25.5,green,93.0,blue,,blue,,blue,26.5,green,99.0,green,26.0,green,97.0
222,2021-07-31,green,25.5,green,92.0,green,27.0,green,90.0,blue,,blue,,green,25.5,green,93.0,green,28.0,green,93.0,green,21.5,green,94.0,green,21.0,green,99.0,blue,,blue,,green,21.5,green,98.0,green,21.5,green,92.0
223,2021-08-01,green,26.5,green,87.0,green,27.0,green,85.0,blue,,blue,,green,26.5,green,94.0,green,28.5,green,92.0,green,24.0,green,97.0,green,22.5,green,99.0,blue,,blue,,green,24.0,green,95.0,green,24.0,green,86.0
224,2021-08-02,green,26.0,green,96.0,green,27.0,green,93.0,blue,,blue,,green,26.0,green,96.0,green,28.0,green,91.0,green,23.5,green,98.0,green,22.0,green,95.0,blue,,blue,,green,23.5,green,98.0,green,23.5,green,94.0
225,2021-08-03,green,26.0,green,93.0,green,27.5,green,88.0,blue,,blue,,green,26.5,green,94.0,green,28.5,green,92.0,green,24.0,green,98.0,green,22.5,green,94.0,blue,,blue,,green,25.0,green,98.0,yellow,24.0,green,92.0
226,2021-08-04,green,27.0,green,96.0,green,28.5,green,90.0,blue,,blue,,green,27.0,green,97.0,green,29.0,green,97.0,yellow,26.0,green,97.0,green,24.5,green,97.0,blue,,blue,,red,29.5,green,94.0,yellow,27.5,green,94.0
227,2021-08-05,green,26.5,green,94.0,green,28.0,green,88.0,blue,,blue,,green,27.0,green,98.0,green,29.0,green,97.0,yellow,27.0,green,98.0,green,25.0,green,96.0,blue,,blue,,red,29.0,green,98.0,yellow,28.5,green,90.0
228,2021-08-06,green,26.0,green,95.0,green,28.0,green,95.0,blue,,blue,,green,26.5,green,98.0,green,28.5,green,98.0,yellow,29.0,green,96.0,green,25.5,green,87.0,blue,,blue,,red,29.5,green,96.0,yellow,30.0,green,93.0
229,2021-08-07,green,28.0,green,98.0,green,29.5,green,93.0,blue,,blue,,green,28.0,green,98.0,green,30.0,green,98.0,green,31.0,green,92.0,green,28.0,green,93.0,blue,,blue,,green,32.0,green,96.0,green,33.0,green,85.0
230,2021-08-08,green,28.0,green,94.0,green,28.5,green,93.0,blue,,blue,,green,28.0,green,98.0,green,30.0,green,94.0,green,30.0,green,95.0,green,27.5,green,92.0,blue,,blue,,green,31.5,green,96.0,green,32.0,green,82.0
231,2021-08-09,green,27.5,green,96.0,green,28.0,green,96.0,blue,,blue,,green,28.0,green,95.0,green,29.5,green,95.0,green,30.5,green,94.0,green,27.5,green,95.0,blue,,blue,,green,31.5,green,96.0,green,32.5,green,89.0
232,2021-08-10,green,29.0,green,94.0,green,29.5,green,96.0,blue,,blue,,green,30.0,green,99.0,green,31.5,green,98.0,green,32.0,green,93.0,green,28.5,green,93.0,blue,,blue,,green,32.5,green,99.0,green,34.0,green,91.0
233,2021-08-11,green,28.0,green,94.0,green,28.5,green,94.0,blue,,blue,,green,29.0,green,99.0,green,30.5,green,98.0,yellow,31.0,green,95.0,green,28.0,green,95.0,blue,,blue,,yellow,31.5,green,98.0,yellow,33.5,green,91.0
234,2021-08-12,green,25.5,green,95.0,green,26.5,green,92.0,blue,,blue,,green,26.5,green,99.0,green,28.0,green,92.0,green,28.5,green,98.0,green,26.0,green,95.0,blue,,blue,,green,29.0,green,96.0,green,30.5,green,94.0
235,2021-08-13,green,25.5,green,93.0,green,26.0,green,90.0,blue,,blue,,green,26.0,green,98.0,green,27.5,green,92.0,green,28.5,green,97.0,green,25.5,green,93.0,blue,,blue,,green,29.0,green,95.0,green,30.0,green,96.0
236,2021-08-14,green,25.0,green,94.0,green,25.0,green,83.0,blue,,blue,,green,25.0,green,98.0,green,27.0,green,89.0,green,28.0,green,97.0,green,24.5,green,95.0,blue,,blue,,green,28.5,green,99.0,yellow,29.5,green,96.0
237,2021-08-15,green,24.0,green,95.0,green,24.0,green,94.0,blue,,blue,,yellow,24.0,green,96.0,green,26.5,green,94.0,green,27.5,green,97.0,green,24.0,green,94.0,blue,,blue,,green,28.0,green,96.0,green,29.0,green,87.0
238,2021-08-16,green,24.0,green,96.0,green,24.5,green,91.0,blue,,blue,,green,24.5,green,98.0,green,26.5,green,93.0,green,27.0,green,97.0,green,24.5,green,93.0,blue,,blue,,green,27.0,green,95.0,green,27.0,green,88.0
239,2021-08-17,green,25.5,green,99.0,green,25.5,green,79.0,blue,,blue,,green,26.0,green,98.0,green,28.0,green,94.0,green,26.5,green,97.0,green,25.5,green,97.0,blue,,blue,,green,27.0,green,92.0,green,26.5,green,90.0
240,2021-08-18,green,26.5,green,95.0,green,27.0,green,87.0,blue,,blue,,yellow,27.0,green,94.0,green,29.0,green,98.0,green,27.5,green,98.0,green,27.0,green,99.0,blue,,blue,,green,28.0,green,95.0,green,27.5,green,86.0
241,2021-08-19,green,26.5,green,94.0,green,27.0,green,85.0,blue,,blue,,yellow,27.0,green,97.0,green,29.0,green,96.0,green,27.5,green,96.0,green,27.0,green,98.0,blue,,blue,,green,28.0,green,95.0,green,27.5,green,95.0
242,2021-08-20,green,26.5,green,94.0,green,27.0,green,88.0,blue,,blue,,green,27.5,green,99.0,green,29.0,green,99.0,green,28.0,green,99.0,green,27.5,green,99.0,blue,,blue,,green,28.0,green,96.0,green,27.5,green,96.0
243,2021-08-21,green,26.0,green,88.0,green,26.5,green,90.0,blue,,blue,,green,27.0,green,98.0,green,28.5,green,98.0,green,27.5,green,98.0,green,27.0,green,98.0,blue,,blue,,green,27.5,green,97.0,green,27.5,green,93.0
244,2021-08-22,green,26.0,green,88.0,green,26.0,green,92.0,blue,,blue,,yellow,27.0,green,99.0,green,29.0,green,98.0,green,27.0,green,97.0,green,26.0,green,96.0,blue,,blue,,green,27.5,green,94.0,green,27.0,green,92.0
245,2021-08-23,green,26.0,green,95.0,green,26.5,green,92.0,blue,,blue,,green,26.5,green,99.0,green,28.5,green,98.0,green,27.0,green,97.0,green,26.5,green,96.0,blue,,blue,,green,27.5,green,93.0,green,27.0,green,93.0
246,2021-08-24,yellow,27.5,green,94.0,yellow,28.0,green,89.0,blue,,blue,,yellow,28.5,green,99.0,yellow,30.0,green,99.0,yellow,29.0,green,99.0,yellow,28.5,green,97.0,blue,,blue,,yellow,29.0,green,96.0,yellow,28.5,green,98.0
247,2021-08-25,yellow,27.0,green,98.0,yellow,28.0,green,88.0,blue,,blue,,yellow,28.0,green,99.0,yellow,29.5,green,99.0,yellow,28.5,green,98.0,yellow,28.0,green,98.0,blue,,blue,,yellow,28.5,green,96.0,yellow,28.5,green,98.0
248,2021-08-26,green,26.0,green,97.0,green,27.0,green,90.0,blue,,blue,,green,27.0,green,99.0,green,28.5,green,99.0,green,27.5,green,98.0,green,27.0,green,95.0,blue,,blue,,green,27.5,green,99.0,green,27.5,green,98.0
249,2021-08-27,yellow,27.0,green,97.0,yellow,27.5,green,95.0,blue,,blue,,yellow,27.5,green,98.0,green,29.5,green,97.0,yellow,28.0,green,98.0,yellow,27.5,green,98.0,blue,,blue,,yellow,28.5,green,99.0,green,28.0,green,98.0
250,2021-08-28,green,27.0,green,99.0,green,28.0,green,95.0,blue,,blue,,green,28.5,green,99.0,green,29.0,green,99.0,green,28.5,green,98.0,green,28.0,green,98.0,blue,,blue,,green,28.5,green,98.0,green,28.0,green,98.0
251,2021-08-29,yellow,26.5,green,98.0,yellow,27.5,green,95.0,blue,,blue,,yellow,28.0,green,98.0,yellow,29.0,green,99.0,yellow,28.0,green,93.0,yellow,27.5,green,95.0,blue,,blue,,yellow,28.0,green,99.0,green,28.0,green,99.0
252,2021-08-30,green,25.0,green,97.0,green,26.0,green,99.0,green,,blue,,green,26.5,green,99.0,green,27.5,green,97.0,green,26.5,green,93.0,green,26.0,green,95.0,blue,,blue,,green,27.0,green,99.0,green,26.5,green,97.0
253,2021-08-31,green,24.0,green,98.0,green,25.0,green,97.0,green,26.5,blue,,green,25.5,green,98.0,green,27.0,green,98.0,green,26.0,green,94.0,green,25.0,green,95.0,blue,,blue,,green,26.0,green,99.0,green,25.5,green,97.0
254,2021-09-01,green,24.5,green,95.0,green,24.5,green,97.0,green,25.5,green,89.0,green,25.0,green,99.0,green,27.0,green,93.0,green,25.5,green,96.0,green,24.5,green,97.0,blue,,blue,,green,26.0,green,99.0,green,26.0,green,97.0
255,2021-09-02,green,23.5,green,96.0,green,24.0,green,91.0,green,25.0,green,86.0,green,23.5,green,96.0,green,26.0,green,80.0,green,25.0,green,91.0,green,24.0,green,95.0,blue,,blue,,green,25.0,green,97.0,green,25.0,green,94.0
256,2021-09-03,green,23.5,green,95.0,green,24.0,green,91.0,green,25.0,green,86.0,green,23.5,green,97.0,green,26.0,green,90.0,green,25.0,green,92.0,green,24.5,green,90.0,blue,,blue,,green,25.0,green,96.0,green,25.0,green,95.0
257,2021-09-04,green,23.5,green,91.0,green,25.0,green,91.0,green,25.5,green,87.0,green,25.0,green,99.0,green,26.5,green,93.0,green,25.5,green,94.0,green,25.5,green,81.0,blue,,blue,,green,25.5,green,96.0,green,25.5,green,96.0
258,2021-09-05,green,24.0,green,93.0,green,24.5,green,91.0,green,25.5,green,89.0,green,24.5,green,95.0,green,27.0,green,93.0,green,25.5,green,87.0,green,24.5,green,89.0,blue,,blue,,green,26.0,green,98.0,green,25.5,green,97.0
259,2021-09-06,yellow,25.0,green,92.0,green,25.5,green,92.0,green,26.5,green,84.0,yellow,25.5,green,99.0,green,27.5,green,97.0,green,26.0,green,92.0,green,25.5,green,83.0,blue,,blue,,green,26.5,green,99.0,green,26.0,green,93.0
260,2021-09-07,yellow,25.5,green,86.0,yellow,26.5,green,91.0,yellow,27.0,green,79.0,yellow,26.5,green,99.0,green,28.0,green,96.0,yellow,27.0,green,95.0,yellow,26.5,green,85.0,yellow,27.5,blue,,yellow,27.0,green,98.0,green,26.5,green,97.0
261,2021-09-08,green,24.0,green,80.0,green,24.0,green,92.0,green,25.0,green,78.0,yellow,24.0,green,97.0,green,26.5,green,91.0,green,25.0,green,86.0,green,24.0,green,75.0,green,24.0,green,90.0,green,25.0,green,99.0,green,25.0,green,85.0
262,2021-09-09,green,24.0,green,84.0,green,24.0,green,88.0,green,25.0,green,72.0,yellow,23.5,green,92.0,green,26.5,green,89.0,green,25.0,green,91.0,green,24.0,green,68.0,green,24.0,green,93.0,green,25.0,blue,,green,25.0,green,87.0
263,2021-09-10,green,24.5,green,85.0,green,25.0,green,81.0,green,26.0,yellow,53.0,green,24.5,green,97.0,green,27.0,green,92.0,green,25.5,green,94.0,green,25.0,green,73.0,green,24.5,green,91.0,green,26.0,green,97.0,green,25.5,green,91.0
264,2021-09-11,green,25.5,green,89.0,green,26.0,green,63.0,green,27.0,yellow,45.0,green,26.5,green,98.0,green,28.5,green,96.0,green,27.0,green,95.0,green,26.5,green,74.0,green,26.0,green,85.0,green,27.0,green,99.0,green,27.0,green,92.0
265,2021-09-12,yellow,25.5,green,88.0,green,26.5,yellow,54.0,green,27.5,red,37.0,yellow,27.0,green,96.0,green,28.5,green,97.0,green,27.0,green,94.0,green,27.0,green,73.0,green,26.0,green,86.0,green,27.5,green,99.0,green,27.0,green,95.0
266,2021-09-13,green,25.5,green,94.0,green,26.0,yellow,51.0,green,27.5,yellow,56.0,green,26.5,green,99.0,green,28.5,green,94.0,green,27.0,green,96.0,green,27.0,green,79.0,green,26.0,green,91.0,green,27.0,green,97.0,green,27.0,green,96.0
267,2021-09-14,green,25.5,green,95.0,green,26.5,yellow,55.0,green,27.5,green,73.0,green,27.0,green,97.0,green,28.0,green,94.0,green,27.0,green,95.0,green,27.0,green,82.0,green,26.0,green,90.0,green,27.0,green,99.0,green,27.0,green,93.0
268,2021-09-15,green,24.5,green,94.0,green,23.5,green,68.0,green,25.0,green,86.0,green,24.5,green,96.0,green,27.0,green,90.0,green,25.0,green,96.0,green,24.0,green,85.0,green,24.0,green,92.0,green,25.5,green,99.0,green,25.0,green,94.0
